p,x,operation,average_time
0.33,10,Insertion,
0.33,10,Search,
0.33,10,Deletion,
0.33,100,Insertion,
0.33,100,Search,
0.33,100,Deletion,
0.33,1000,Insertion,
0.33,1000,Search,
0.33,1000,Deletion,
0.33,10000,Insertion,
0.33,10000,Search,
0.33,10000,Deletion,
0.5,10,Insertion,
0.5,10,Search,
0.5,10,Deletion,
0.5,100,Insertion,
0.5,100,Search,
0.5,100,Deletion,
0.5,1000,Insertion,
0.5,1000,Search,
0.5,1000,Deletion,
0.5,10000,Insertion,
0.5,10000,Search,
0.5,10000,Deletion,
0.75,10,Insertion,
0.75,10,Search,
0.75,10,Deletion,
0.75,100,Insertion,
0.75,100,Search,
0.75,100,Deletion,
0.75,1000,Insertion,
0.75,1000,Search,
0.75,1000,Deletion,
0.75,10000,Insertion,
0.75,10000,Search,
0.75,10000,Deletion,
0.9,10,Insertion,
0.9,10,Search,
0.9,10,Deletion,
0.9,100,Insertion,
0.9,100,Search,
0.9,100,Deletion,
0.9,1000,Insertion,
0.9,1000,Search,
0.9,1000,Deletion,
0.9,10000,Insertion,
0.9,10000,Search,
0.9,10000,Deletion,
